CurrYear	gbpu	gbpuName	aTot	nLinksInt	nLinksExt	connNetRatingInt	linkNetClsPctInt_1	linkNetClsPctInt_2	linkNetClsPctInt_3	linkNetClsPctInt_4	connNetRatingExt	linkNetClsPctExt_1	linkNetClsPctExt_2	linkNetClsPctExt_3	linkNetClsPctExt_4
2024	59	UpperSkeena_Nass	1696792	432	24.500000	0.988410	0	0	2	98	0.956030	0	0	4	96
2024	61	Babine	1429126	360	40	0.920342	0	1	5	94	0.605626	4	15	31	50
2024	62	Stewart	1132800	279	28	0.969407	0	0	2	98	0.817455	0	0	32	68
2024	63	Cranberry	1176752	300	52	0.934053	0	1	5	94	0.741891	0	3	38	59
2024	65	Bulkley_Lakes	2368771	626	47	0.895349	0	1	11	88	0.509345	3	26	57	14
2024	66	Khutzeymateen	798936	191	24.500000	0.957930	0	0	5	95	0.658464	0	16	43	41
2024	67	NorthCoast	678270	163	16.500000	0.907583	0	4	4	93	0.506243	0	39	55	6
2024	70	Francois	868521	199	16.500000	0.819812	0	5	19	76	0.651415	0	12	42	45
2034	59	UpperSkeena_Nass	1696792	432	24.500000	0.987391	0	0	2	98	0.964243	0	0	4	96
2034	61	Babine	1429126	360	40.500000	0.937987	0	1	4	95	0.632267	2	16	25	57
2034	62	Stewart	1132800	279	28	0.970481	0	0	1	99	0.834156	0	0	27	73
2034	63	Cranberry	1176752	300	52	0.936824	0	1	4	95	0.761001	0	3	32	65
2034	65	Bulkley_Lakes	2368771	627	47.500000	0.908663	0	1	10	89	0.534997	2	26	52	20
2034	66	Khutzeymateen	798936	191	24.500000	0.960323	0	0	5	95	0.671320	0	14	47	39
2034	67	NorthCoast	678270	162	16.500000	0.926859	0	3	3	94	0.511240	0	36	61	3
2034	70	Francois	868521	199	16.500000	0.854900	0	4	11	86	0.702406	0	12	24	64
2044	59	UpperSkeena_Nass	1696792	432	24.500000	0.988113	0	0	2	98	0.971708	0	0	2	98
2044	61	Babine	1429126	360	40	0.937260	0	1	4	95	0.661337	0	19	24	58
2044	62	Stewart	1132800	279	28	0.969313	0	0	1	99	0.840215	0	0	21	79
2044	63	Cranberry	1176752	300	52	0.942102	0	1	4	95	0.760543	0	3	30	67
