CurrYear	gbpu	gbpuName	aTot	nLinksInt	nLinksExt	connNetRatingInt	linkNetClsPctInt_1	linkNetClsPctInt_2	linkNetClsPctInt_3	linkNetClsPctInt_4	connNetRatingExt	linkNetClsPctExt_1	linkNetClsPctExt_2	linkNetClsPctExt_3	linkNetClsPctExt_4
2024	59	UpperSkeena_Nass	1696792	432	24.500000	0.987917	0	0	2	98	0.958301	0	0	4	96
2024	61	Babine	1429126	360	40	0.924623	0	1	5	95	0.607784	4	15	30	51
2024	62	Stewart	1132800	279	28	0.974033	0	0	2	98	0.817355	0	0	32	68
2024	63	Cranberry	1176752	300	52	0.933466	0	1	5	94	0.746939	0	3	38	60
2024	65	Bulkley_Lakes	2368771	627	47.500000	0.902966	0	1	10	89	0.522950	3	23	55	19
2024	66	Khutzeymateen	798936	191	24.500000	0.957923	0	0	5	95	0.660066	0	16	43	41
2024	67	NorthCoast	678270	162	16.500000	0.915887	0	3	4	93	0.525345	0	36	58	6
2024	70	Francois	868521	199	17	0.828902	0	5	16	80	0.675780	0	9	38	53
2034	59	UpperSkeena_Nass	1696792	432	24.500000	0.987407	0	0	2	98	0.960831	0	0	4	96
2034	61	Babine	1429126	360	40.500000	0.938867	0	1	4	95	0.639067	2	16	25	57
2034	62	Stewart	1132800	279	28	0.975051	0	0	1	99	0.836953	0	0	27	73
2034	63	Cranberry	1176752	300	52	0.938720	0	1	4	95	0.765349	0	3	31	66
2034	65	Bulkley_Lakes	2368771	627	48	0.919179	0	0	9	91	0.535268	2	29	47	22
2034	66	Khutzeymateen	798936	191	24.500000	0.960323	0	0	5	95	0.674008	0	14	45	41
2034	67	NorthCoast	678270	162	16.500000	0.927051	0	2	4	94	0.504410	0	42	55	3
2034	70	Francois	868521	200	17	0.855142	0	4	11	86	0.716562	0	15	18	68
2044	59	UpperSkeena_Nass	1696792	432	24.500000	0.987068	0	0	2	98	0.969710	0	0	2	98
2044	61	Babine	1429126	360	40	0.940566	0	1	3	97	0.647237	3	18	21	59
2044	62	Stewart	1132800	279	28	0.974498	0	0	1	99	0.840096	0	0	23	77
2044	63	Cranberry	1176752	300	52	0.941594	0	1	4	95	0.769564	0	3	30	67
2044	65	Bulkley_Lakes	2368771	627	47.500000	0.926297	0	0	7	93	0.550679	2	25	47	25
2044	66	Khutzeymateen	798936	191	24.500000	0.958971	0	0	4	96	0.669550	0	12	49	39
2044	67	NorthCoast	678270	163	16.500000	0.919590	0	3	4	93	0.549823	0	27	61	12
2044	70	Francois	868521	199	17	0.863127	0	3	9	88	0.696125	0	12	21	68
2054	59	UpperSkeena_Nass	1696792	432	24.500000	0.987353	0	0	2	98	0.967486	0	0	4	96
2054	61	Babine	1429126	360	41	0.939023	0	1	3	96	0.662117	2	17	22	59
2054	62	Stewart	1132800	279	28	0.976503	0	0	1	99	0.858623	0	0	21	79
2054	63	Cranberry	1176752	300	52	0.942569	0	1	4	96	0.772085	0	2	32	66
2054	65	Bulkley_Lakes	2368771	627	48.500000	0.937030	0	0	6	94	0.555104	2	23	52	24
