CurrYear	gbpu	gbpuName	aTot	nLinksInt	nLinksExt	connNetRatingInt	linkNetClsPctInt_1	linkNetClsPctInt_2	linkNetClsPctInt_3	linkNetClsPctInt_4	connNetRatingExt	linkNetClsPctExt_1	linkNetClsPctExt_2	linkNetClsPctExt_3	linkNetClsPctExt_4
2024	59	UpperSkeena_Nass	1696792	432	24.500000	1.003344	0	0	3	97	1.077781	0	0	2	98
2024	61	Babine	1429126	360	40	0.972489	0	1	2	98	0.714387	0	18	20	63
2024	62	Stewart	1132800	270	28	0.914906	0	3	8	89	0.982341	0	0	14	86
2024	63	Cranberry	1176752	300	52	0.965587	0	1	4	96	0.880960	0	1	21	78
2024	65	Bulkley_Lakes	2368771	625	47.500000	0.918230	0	1	10	89	0.607059	0	23	40	37
2024	66	Khutzeymateen	798936	187	24	0.961776	0	0	9	91	0.787848	0	4	40	56
2024	67	NorthCoast	678270	163	16	0.947427	0	4	3	93	0.612946	0	16	63	22
2024	70	Francois	868521	199	17	0.875988	0	4	9	87	0.751551	0	12	18	71
2034	59	UpperSkeena_Nass	1696792	432	24.500000	1.002624	0	0	2	98	1.083370	0	0	2	98
2034	61	Babine	1429126	360	40	0.981580	0	0	3	97	0.726546	0	16	20	64
2034	62	Stewart	1132800	270	28	0.915438	0	3	9	89	0.994024	0	0	13	88
2034	63	Cranberry	1176752	300	52	0.957373	1	0	3	96	0.878156	0	1	21	78
2034	65	Bulkley_Lakes	2368771	626	48	0.938692	0	1	8	92	0.640159	0	19	41	41
2034	66	Khutzeymateen	798936	187	24	0.963850	0	0	8	92	0.766537	0	4	42	54
2034	67	NorthCoast	678270	162	16	0.951386	0	2	4	93	0.667219	0	13	69	19
2034	70	Francois	868521	200	17.500000	0.880917	0	5	10	86	0.824629	0	6	14	80
2044	59	UpperSkeena_Nass	1696792	432	24.500000	1.003539	0	0	2	98	1.084811	0	0	2	98
2044	61	Babine	1429126	360	40.500000	0.993233	0	0	2	98	0.755546	0	14	22	64
2044	62	Stewart	1132800	270	28	0.913976	0	3	9	89	1.014726	0	0	7	93
2044	63	Cranberry	1176752	300	52.500000	0.936086	1	0	3	97	0.826975	1	1	23	75
2044	65	Bulkley_Lakes	2368771	626	48	0.946764	0	1	6	93	0.615888	1	19	46	34
2044	66	Khutzeymateen	798936	187	24.500000	0.965401	0	0	9	91	0.708317	2	4	45	49
2044	67	NorthCoast	678270	160	15.500000	0.947173	1	3	3	94	0.597555	3	19	65	13
2044	70	Francois	868521	200	17.500000	0.879093	0	3	11	86	0.832192	0	6	14	80
2054	59	UpperSkeena_Nass	1696792	432	24.500000	1.003863	0	0	3	97	1.082969	0	0	2	98
2054	61	Babine	1429126	360	40.500000	0.995519	0	0	2	98	0.750480	0	14	22	64
2054	62	Stewart	1132800	270	28	0.914229	0	3	9	89	1.013535	0	0	5	95
2054	63	Cranberry	1176752	300	52	0.926411	1	0	3	96	0.886531	0	0	23	77
2054	65	Bulkley_Lakes	2368771	626	48	0.945431	0	1	6	93	0.610492	1	18	49	32
2054	66	Khutzeymateen	798936	187	24	0.961100	0	0	10	90	0.786791	0	4	40	56
2054	67	NorthCoast	678270	160	15.500000	0.933537	1	3	3	94	0.586920	3	19	65	13
2054	70	Francois	868521	200	17.500000	0.861294	0	4	11	85	0.820073	0	6	17	77
2064	59	UpperSkeena_Nass	1696792	432	24.500000	1.003433	0	0	2	98	1.087023	0	0	2	98
2064	61	Babine	1429126	358	40.500000	0.993508	0	0	3	97	0.755834	0	15	21	64
2064	62	Stewart	1132800	270	28	0.914792	0	3	8	89	1.025576	0	0	5	95
2064	63	Cranberry	1176752	300	52	0.922167	1	0	1	98	0.823314	1	0	21	78
2064	65	Bulkley_Lakes	2368771	624	47.500000	0.938137	0	1	7	92	0.605900	2	19	45	34
2064	66	Khutzeymateen	798936	187	24.500000	0.961104	0	0	9	91	0.689410	2	4	39	55
2064	67	NorthCoast	678270	160	15.500000	0.917796	1	2	4	93	0.543718	6	16	68	10
2064	70	Francois	868521	200	17.500000	0.857979	0	4	12	85	0.833281	0	9	11	80
2074	59	UpperSkeena_Nass	1696792	432	24.500000	1.002048	0	0	3	97	1.079471	0	0	2	98
2074	61	Babine	1429126	357	39.500000	0.984792	0	1	1	98	0.754915	0	11	24	65
2074	62	Stewart	1132800	270	28	0.913936	0	3	9	89	1.033124	0	0	5	95
2074	63	Cranberry	1176752	300	52.500000	0.917730	1	0	1	98	0.756256	2	0	19	79
2074	65	Bulkley_Lakes	2368771	623	47	0.926508	0	1	7	92	0.561442	4	15	44	37
2074	66	Khutzeymateen	798936	187	25	0.959253	0	0	9	91	0.585189	4	6	38	52
2074	67	NorthCoast	678270	160	15.500000	0.898237	1	1	4	94	0.437885	13	16	55	16
2074	70	Francois	868521	199	18	0.849735	0	5	14	82	0.808458	0	8	17	75
2084	59	UpperSkeena_Nass	1696792	432	24.500000	0.999509	0	0	3	97	1.057346	0	0	2	98
2084	61	Babine	1429126	358	40	0.963455	1	0	1	97	0.709506	0	16	24	60
2084	62	Stewart	1132800	270	28	0.912724	0	3	9	89	1.002303	0	0	7	93
2084	63	Cranberry	1176752	300	52	0.910544	1	0	1	98	0.816085	1	0	21	78
