CurrYear	gbpu	gbpuName	aTot	nLinksInt	nLinksExt	connNetRatingInt	linkNetClsPctInt_1	linkNetClsPctInt_2	linkNetClsPctInt_3	linkNetClsPctInt_4	connNetRatingExt	linkNetClsPctExt_1	linkNetClsPctExt_2	linkNetClsPctExt_3	linkNetClsPctExt_4
2024	59	UpperSkeena_Nass	1696792	432	24.500000	0.988613	0	0	2	98	0.967228	0	0	4	96
2024	61	Babine	1429126	360	39.500000	0.936141	0	1	4	95	0.673302	0	18	23	59
2024	62	Stewart	1132800	279	28	0.971816	0	0	1	99	0.843036	0	0	25	75
2024	63	Cranberry	1176752	300	52	0.940293	0	1	4	95	0.769610	0	4	28	68
2024	65	Bulkley_Lakes	2368771	627	47	0.917913	0	1	9	91	0.556755	0	27	51	22
2024	66	Khutzeymateen	798936	191	24.500000	0.958569	0	0	4	96	0.661782	0	16	43	41
2024	67	NorthCoast	678270	164	16.500000	0.914129	0	4	3	93	0.514011	0	36	58	6
2024	70	Francois	868521	200	17	0.862433	0	3	11	87	0.698177	0	9	26	65
2034	59	UpperSkeena_Nass	1696792	432	24.500000	0.988817	0	0	2	98	0.983287	0	0	2	98
2034	61	Babine	1429126	360	40.500000	0.950203	0	0	3	97	0.670421	1	14	26	59
2034	62	Stewart	1132800	279	28	0.972378	0	0	1	99	0.846712	0	0	25	75
2034	63	Cranberry	1176752	300	52	0.933795	1	0	4	95	0.767247	0	3	31	66
2034	65	Bulkley_Lakes	2368771	627	48	0.938997	0	0	6	94	0.567711	1	22	51	26
2034	66	Khutzeymateen	798936	191	24.500000	0.960421	0	0	4	96	0.667641	0	12	45	43
2034	67	NorthCoast	678270	163	16.500000	0.919603	0	2	6	92	0.542915	0	30	61	9
2034	70	Francois	868521	199	17	0.883846	0	4	6	90	0.733023	0	9	15	76
2044	59	UpperSkeena_Nass	1696792	432	24.500000	0.989009	0	0	2	98	0.989846	0	0	0	100
2044	61	Babine	1429126	360	41	0.955440	0	0	3	98	0.697936	0	15	26	60
2044	62	Stewart	1132800	279	28	0.973861	0	0	1	99	0.893308	0	0	13	88
2044	63	Cranberry	1176752	300	52.500000	0.937772	1	0	3	97	0.767378	1	4	27	69
2044	65	Bulkley_Lakes	2368771	626	48.500000	0.943773	0	0	5	95	0.571213	0	26	51	24
2044	66	Khutzeymateen	798936	191	25	0.960047	0	0	5	95	0.652979	2	10	40	48
2044	67	NorthCoast	678270	163	16.500000	0.925550	0	3	4	93	0.505141	0	30	64	6
