CurrYear	gbpu	gbpuName	aTot	nLinksInt	nLinksExt	connNetRatingInt	linkNetClsPctInt_1	linkNetClsPctInt_2	linkNetClsPctInt_3	linkNetClsPctInt_4	connNetRatingExt	linkNetClsPctExt_1	linkNetClsPctExt_2	linkNetClsPctExt_3	linkNetClsPctExt_4
2024	59	UpperSkeena_Nass	1696792	432	24.500000	0.987242	0	0	2	98	0.977480	0	0	2	98
2024	61	Babine	1429126	360	40	0.939278	0	1	3	96	0.668065	0	18	24	59
2024	62	Stewart	1132800	279	28	0.974412	0	0	1	99	0.849560	0	0	23	77
2024	63	Cranberry	1176752	300	52	0.944000	0	1	4	95	0.765476	0	3	29	68
2024	65	Bulkley_Lakes	2368771	627	47.500000	0.921610	0	1	8	91	0.559859	0	27	48	24
2024	66	Khutzeymateen	798936	191	24.500000	0.959496	0	0	4	96	0.669800	0	14	45	41
2024	67	NorthCoast	678270	164	16.500000	0.911085	0	4	3	93	0.522584	0	36	58	6
2024	70	Francois	868521	199	17	0.874450	0	4	8	89	0.717006	0	12	18	71
2034	59	UpperSkeena_Nass	1696792	432	24.500000	0.987522	0	0	2	98	0.970924	0	0	2	98
2034	61	Babine	1429126	360	41	0.947813	0	1	2	97	0.655662	0	20	24	56
2034	62	Stewart	1132800	279	28	0.975706	0	0	1	99	0.867775	0	0	18	82
2034	63	Cranberry	1176752	300	52.500000	0.916197	1	0	4	96	0.742097	1	4	29	67
2034	65	Bulkley_Lakes	2368771	627	48.500000	0.942347	0	0	5	95	0.562063	0	26	48	26
2034	66	Khutzeymateen	798936	191	25	0.960185	0	0	4	96	0.635684	2	12	38	48
2034	67	NorthCoast	678270	163	16.500000	0.922444	0	3	4	93	0.544568	0	24	64	12
2034	70	Francois	868521	199	17	0.889326	0	4	8	89	0.733959	0	9	18	74
2044	59	UpperSkeena_Nass	1696792	432	24.500000	0.988149	0	0	2	98	0.988432	0	0	0	100
2044	61	Babine	1429126	360	40.500000	0.950058	0	0	3	97	0.674381	0	17	23	59
2044	62	Stewart	1132800	279	28	0.975592	0	0	1	99	0.890350	0	0	11	89
2044	63	Cranberry	1176752	300	52.500000	0.919549	1	0	3	97	0.767444	1	3	29	68
2044	65	Bulkley_Lakes	2368771	625	47.500000	0.939134	0	0	5	94	0.560125	0	28	49	22
2044	66	Khutzeymateen	798936	191	24.500000	0.961226	0	0	5	95	0.649456	2	12	45	41
2044	67	NorthCoast	678270	163	15.500000	0.920205	0	4	4	92	0.522713	0	39	61	0
2044	70	Francois	868521	200	17	0.865147	0	4	10	87	0.775593	0	12	21	68
2054	59	UpperSkeena_Nass	1696792	432	24.500000	0.987602	0	0	2	98	0.981151	0	0	2	98
2054	61	Babine	1429126	360	40	0.950276	0	1	3	97	0.660841	0	24	15	61
2054	62	Stewart	1132800	279	28	0.974400	0	0	1	99	0.880796	0	0	14	86
2054	63	Cranberry	1176752	300	52.500000	0.918645	1	0	1	98	0.763035	1	1	27	71
2054	65	Bulkley_Lakes	2368771	624	47.500000	0.936220	0	1	6	93	0.565385	0	28	46	25
2054	66	Khutzeymateen	798936	191	24.500000	0.958720	0	1	5	95	0.625117	2	12	47	39
2054	67	NorthCoast	678270	160	15.500000	0.920763	0	3	4	93	0.554993	0	29	71	0
2054	70	Francois	868521	200	17.500000	0.854460	0	4	10	87	0.766902	0	11	17	71
2064	59	UpperSkeena_Nass	1696792	432	24.500000	0.987169	0	0	2	98	0.970148	0	0	2	98
2064	61	Babine	1429126	358	40	0.953513	0	1	3	97	0.680344	0	18	23	60
2064	62	Stewart	1132800	279	28	0.975806	0	0	1	99	0.876626	0	0	16	84
2064	63	Cranberry	1176752	300	52	0.914250	1	0	1	98	0.764656	1	1	26	72
2064	65	Bulkley_Lakes	2368771	624	46	0.927634	0	1	6	94	0.561012	3	21	53	23
2064	66	Khutzeymateen	798936	191	24.500000	0.959075	0	0	5	95	0.608714	2	16	43	39
2064	67	NorthCoast	678270	160	15.500000	0.886582	1	3	6	91	0.517947	10	32	58	0
2064	70	Francois	868521	197	16.500000	0.821168	1	4	11	85	0.745033	0	6	21	73
2074	59	UpperSkeena_Nass	1696792	432	24.500000	0.986894	0	0	2	98	0.960890	0	0	2	98
2074	61	Babine	1429126	358	40	0.909134	1	1	2	97	0.635534	1	20	19	60
2074	62	Stewart	1132800	279	28	0.968034	0	0	2	98	0.864302	0	0	20	80
2074	63	Cranberry	1176752	300	52	0.899118	1	0	1	98	0.755627	1	0	32	67
2074	65	Bulkley_Lakes	2368771	621	46	0.908746	0	1	7	91	0.517914	5	23	51	21
2074	66	Khutzeymateen	798936	191	24.500000	0.956124	0	1	3	96	0.623895	2	14	47	37
2074	67	NorthCoast	678270	160	15.500000	0.880772	1	1	5	93	0.488979	13	26	58	3
2074	70	Francois	868521	197	16.500000	0.744852	2	7	16	76	0.710803	0	12	30	58
2084	59	UpperSkeena_Nass	1696792	432	24.500000	0.984254	0	0	2	98	0.968060	0	0	2	98
2084	61	Babine	1429126	356	38.500000	0.877268	1	1	4	95	0.600976	1	21	17	61
2084	62	Stewart	1132800	279	28	0.967339	0	0	1	99	0.861874	0	0	14	86
2084	63	Cranberry	1176752	300	52.500000	0.896159	1	0	0	99	0.690557	2	3	23	72
2084	65	Bulkley_Lakes	2368771	620	44.500000	0.882765	0	1	10	89	0.450866	7	26	47	20
2084	66	Khutzeymateen	798936	191	25.500000	0.949815	0	1	4	95	0.501248	6	12	39	43
2084	67	NorthCoast	678270	160	16	0.850730	1	0	6	93	0.338923	16	19	63	3
2084	70	Francois	868521	196	16.500000	0.756698	3	4	13	81	0.692864	3	12	24	61
2094	59	UpperSkeena_Nass	1696792	432	24.500000	0.985142	0	0	2	98	0.966172	0	0	2	98
2094	61	Babine	1429126	357	39.500000	0.854621	1	0	3	95	0.552119	5	22	14	59
2094	62	Stewart	1132800	279	28	0.967160	0	0	1	99	0.854249	0	0	20	80
2094	63	Cranberry	1176752	300	52.500000	0.895007	1	0	3	97	0.686881	2	3	27	69
2094	65	Bulkley_Lakes	2368771	621	44.500000	0.871489	0	1	10	88	0.408913	10	29	42	19
2094	66	Khutzeymateen	798936	191	25.500000	0.959977	0	0	5	95	0.484290	6	14	43	37
2094	67	NorthCoast	678270	161	15.500000	0.780723	2	1	4	93	0.306366	13	32	55	0
2094	70	Francois	868521	197	16	0.736684	3	3	14	80	0.640000	6	16	16	63
2104	59	UpperSkeena_Nass	1696792	432	24.500000	0.985991	0	0	2	98	0.955927	0	0	4	96
2104	61	Babine	1429126	354	39	0.869052	1	1	3	95	0.568725	4	18	23	55
2104	62	Stewart	1132800	279	28	0.961073	0	0	2	98	0.824943	0	0	30	70
2104	63	Cranberry	1176752	300	52.500000	0.875114	1	0	3	96	0.661510	2	6	31	61
2104	65	Bulkley_Lakes	2368771	620	44	0.884531	1	1	7	92	0.392888	9	28	43	19
2104	66	Khutzeymateen	798936	191	25.500000	0.958160	0	0	4	96	0.468803	6	12	43	39
2104	67	NorthCoast	678270	161	16	0.803102	1	1	6	93	0.270679	16	22	63	0
2104	70	Francois	868521	195	15.500000	0.759870	3	3	10	85	0.636585	3	13	13	71
2114	59	UpperSkeena_Nass	1696792	432	24.500000	0.980923	0	0	3	97	0.973061	0	0	2	98
2114	61	Babine	1429126	358	38	0.803040	2	1	2	95	0.507704	5	21	16	58
2114	62	Stewart	1132800	279	28	0.968520	0	0	1	99	0.856071	0	0	18	82
2114	63	Cranberry	1176752	300	53	0.868187	1	0	3	96	0.579109	3	5	20	73
2114	65	Bulkley_Lakes	2368771	620	44.500000	0.854187	1	1	6	93	0.339854	12	30	38	19
2114	66	Khutzeymateen	798936	191	25.500000	0.960494	0	0	4	96	0.437559	6	12	37	45
