Year	Scn	strata	TroutUnit	Landform	GBPU	Ecosection	LU	BEC	aTot	aLU_NaturalPermanent	aLU_Range	aLU_Agriculture	aLU_Natural	aLU_Urban	aLU_Industrial	aPark	kmPipelines_existing	kmPipelines_proposed	nMines_Aggregate	nMines_Coal	nMines_Mineral	nMines_Future	nWindFarms	kmTransLine_existing	kmTransLine_potential	aProductiveForest	aConif	aMidSeralConif	kmRoad	aRdDensityCls_1	aRdDensityCls_2	aRdDensityCls_3	aRdDensityCls_4	aRdDensityCls_5	aHumanPressureCls_1	aHumanPressureCls_2	aHumanPressureCls_3	aHumanPressureCls_4	aHumanPressureCls_5	aSecureFull	aSecurePartial	aSecureNonHab	aNonSecureHab	aNonSecureNonHab	aBEIcls_1	aBEIcls_2	aBEIcls_3	aBEIcls_4	aBEIcls_5	aBEIcls6	aBEIcls8
2014	CurrCond	72	tuUpperIskut	lf4SteepSlope	UpperSkeena_Nass	NSM_NorthernSkeenaMountains	MiddleIskutRiver	ESSFwvp	1935	1871	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	17	17	2	0	1935	0	0	0	0	67	1868	0	0	0	1334	0	601	0	0	164	1030	140	0	0	601	0
2014	CurrCond	73	tuUpperIskut	lf4SteepSlope	UpperSkeena_Nass	NSM_NorthernSkeenaMountains	MiddleIskutRiver	ICHmc1	23	4	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	23	0	0	0	0	0	23	0	0	0	23	0	0	0	0	15	6	2	0	0	0	0
2014	CurrCond	74	tuUpperIskut	lf4SteepSlope	UpperSkeena_Nass	NSM_NorthernSkeenaMountains	Craven	BAFAun	86	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	86	0	0	0	0	11	0	75	0	0	0	11	0	0	0	75	0
2014	CurrCond	75	tuUpperIskut	lf4SteepSlope	UpperSkeena_Nass	NSM_NorthernSkeenaMountains	Craven	ESSFwvp	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	0	0	0	0	10	0	0	0	0	0	10	0	0	0	0	0
2014	CurrCond	76	tuUpperIskut	lf4SteepSlope	Stewart	NSM_NorthernSkeenaMountains	Oweegee	BAFAun	20	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	20	0	0	0	4	0	16	0	0	0	0	4	0	0	16	0
2014	CurrCond	77	tuBellIrving	lf4Plain	UpperSkeena_Nass	NAB_NassBasin	Tintina	ICHmc1	1566	102	0	0	1464	0	0	0	0	0	0	0	0	0	0	0	0	1436	1333	0	25.600000	34	24	86	45	1377	0	659	907	0	0	863	259	0	444	0	0	1566	0	0	0	0	0
2014	CurrCond	78	tuBellIrving	lf4Plain	UpperSkeena_Nass	NSM_NorthernSkeenaMountains	Oweegee	ICHmc1	444	67	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	356	337	0	5.600000	25	23	38	12	346	0	444	0	0	0	46	100	0	298	0	88	356	0	0	0	0	0
2014	CurrCond	79	tuBellIrving	lf4Plain	Stewart	MEM_MeziadinMountains	Bowser	CMAun	54	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	28	26	0	0	0	0	0	54	0	0	0	0	0	0	0	54	0
2014	CurrCond	80	tuBellIrving	lf4Plain	Stewart	MEM_MeziadinMountains	Bowser	ESSFwv	180	119	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	64	64	0	0.800000	87	12	48	5	28	119	61	0	0	0	87	0	93	0	0	0	87	0	0	0	93	0
2014	CurrCond	81	tuBellIrving	lf4Plain	Stewart	MEM_MeziadinMountains	Bowser	ESSFwvp	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	8	0
